FOLDERNAME,LANGUAGE,PHOTONAME,UNIQUEPHOTO,PHOTOTEXT,NAMESMENTIONED,COUNTRIESMENTIONED,URL,COPYRIGHT
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0014,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0014,DECLASSIFIED thority NND 969000 TANZAN CONFIDENTIAL A-366 Page 2 that he would look into the matter ortunate y course of approaches to the Tanzanian Foreign Office. esult the Embassy is often forced to bypass the in Ministry in its efforts to do business with the ian and would feelings. a procedure which sometimes causes The Embassy is awaiting replies to its queries and push for some sort of response on USIS trainees rs and insulting references to President Johnson. nses on the other items will probably not be received gh the Embassy may be able to elicit the desiredinformation ugh contacts with other Ministries. osures; stated 15 0 6 33 OCT USE ORLY 68 15 522 pril ers. April rrive BMB PICKERIN EE 9091 89/1/T 2 10d on le NYZNVI CONFIDENTIAL,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0028,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0028,aM be sTasad DECLASSIFIED Authority NND 969000 OF STATE CONFIDENTIAL Dar es Salaam Despite the dreadful road conditions the Tanzanian Government is determined to go through with its press junket to the Zambian border by road. The newsmen were not able to teave April 17 as planned because the road was blocked From they were scheduled to begin their trip the next day. all indications nothing that they will see will bear out the Presidents glowing description of the gallant little highway though it is a safe bet the TANU papers will find something good to report. Ultimate help with Tanzanias transport problems is however on the way. Chinese railroad survey technicians 154 of them arrived on a spiffy-looking brand-new passenger April 12. No outsiders were allowed on soard the liner though the president reportedly visited it twice) and no close-up pictures could be taken of it but it was gaily decorated with Mao-thought posters. They were notably inoffensive; perhaps our protests to the Foreign Office about slanderous propaganda have had some effect or perhaps the Chinese are playing it cool since the unpleasantness but more provocative in Mombasa over similal being temporarily housed at Dars advertising. The technicians are all University College (the students are on their long vacation) and they are said to be holding pep rallies and self-criticism sessions on the grass outside the dormitories. Also aboard the Yao-Hua were 42 Chinese medical personnel; 31 doctors six nurses and five interpreters. They are to be stationed upcountry reportedly over the Ministry of Healths seeing to it that they are any problems the Ministry wants to be sure that they get highest level attention. The Chinese are refusing Tanzanian so problems would seem administrative or legal supervision e costing very little. though they are said to Ane tanzania has to supply is housing. 水米米米* The U.N.s South West Africa Council arrived in Dar from Lusaka April 13 and was greeted by SWAPO Banners urging that they go straight to Windhoek. During their five day stay and during their formal meeting with SWAPO representatives April 16 the Council insisted that it would go to South West Africa as soon as arrangements could be made. The Council CONFIDENTIAL 89/1/1 TOd,,Zambia,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0029,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0029,Pal 2 TANZAN DECLASSIFIED Authority NND 969000 OF STATE CONFIDENTIAL - 5- Dar es Salaam A-359 ft Tanzania April 18 -- for New York -- but they were still sisting that they would ultimately get to Windhoek. Standard in an editorial which summed up local reaction ccused the U.N. group of waffling around Dar es Salaam aid that it should go about its business of entering the trust territory with no further delay. Other arrivals during the week included NUTA Assistant General Secretary KIDA back from an anti-Viet-Nam meeting in Moscow and a two-man NUTA delegation back from a fraternal vist to their union counterparts in Somalia. The latter visit produced a joint communique in which the Tanzanians and Somalis expressed support for wider East African unity and support for the OAUs African Continental Workers Organization. President Nyereres gift Egyptian water buffaloes arrived April 14 and were greeted by a group of nervous dockworkers. The buffaloes turned out to be calm and well-behaved. Anglo-American-African Education Conference closed April 13 Kenya April 15 expressing admiration for Tanzanian youth activities. North Vietnamese Deputy Foreign Minister Hoang Van Loi is due in town the end of April. Tanzanian cabinet members were on the road during the week; Agriculture Minister Bryceson was in Trinidad and Canada after visiting the U.s. and Finance Minister Jamal left April 15 to meet with his Yugoslav counterpart after which he will attend a World Bank East African Consultative Group mittine leavang for Brustel An Co Rece attend tatries Mast African association with the EEC. Tanzania is prepared to give very little in the way of reverse preferences. A further indication that the old days have passed was seen in the news that Ivor C. W. Bayldon a long-time expatriate coffee planter in Mbeya the pre-independence Bayldon was one of the founders of is Beaving tanana. he dualist opatterite TAlushe eat and independence under he stayed on after the U.T.P. Tanganyika Party but TANU and he continued to serve on civic and para-statal Post-Arusha Tanzania has evidently been too much for him however and he has decided to leave. from Canton April 15 that Tanzanians were There was report attending the Canton trade fair but there has been no news here of any fair-goers departure. relations The Vatican and Tanzania have established diplomatic as of April 13 with Archbishop Pierluigi Sartorelli assigned as Pro-Nuncio resident in Nairobi. CONFIDENTIAL 1/1/68 70đ NYZNVI,Nyerere; Bryceson; Jamal,Viet-Nam; Egypt; Kenya; Vietnam; Canada; World Bank,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0001,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0001,餡 PrBjBEt Nmber；NND ダもタロロり BENTRAL FOREJBN PDLIEY PILES 1987-1989 Entry MB› вай N8; SCREENED R3 2EERAL RECORDらOがTHE DEPARTMENT OF STATE CPNTRAL FOREI POLROY FILES， 1987-1959 Potteal and Defenda POH 2TANZAN &11187 POL 2TANZAN 1/1/89 Box 2513,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0015,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0015,DECLASSIFIED whority NND 969000 TANZAN CONFIDENTIAL margram - A-366 Enclosure No. 1 American Embassy Dar es Salaam April 24 1968 MEMORANDUM OF CONVERSATION Assistant Secretary EANTS; 5. Foltical Division Ministry of Foreign West Section Affairs (American Desk Officer). George B. Roberts Jr. American Embassy • PLACE; 1100 April 16 1968 Mr. Mbondes Office CT; U.N. Matters? 50633 А 1o 35n 1150 15 52₴ ril ers. pril Trive 1506 23 1/1/68 POL 2 Conference Human Rights. Id tell me who ference on Human Rights scheduled to take place in Tehran il 22 to May 13 1968. I also asked if he had anything he hed to discuss with me about the Conference -- any Tanzanian itions for which his Government might wish U.S. support or / other thoughts he might want to share with me. MI. Mbonde said that he knew nothing about the Conference d had not been able to find out anything about it since the otocol Division had told him last week that I wanted to discuss .. He said he would see if he could get some information for HO Constitution Amendments. As reported in Dars 2872 Mr. Mbonde knew nothing of Tanzanias position on this question. He accepted a second copy of the memorandum explaining the amendments and said he would look into it. GROUP 3 Downgraded at 12-year intervals not automatically declassified. CONFIDENTIAL 阳 TANZAN,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0003,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0003,RG 59 GENERAL RECORDS OF THE DEPARTMENT OF STATE CENTRAL FOREIGN POLICY FILES 1967-1969 Political and Defense POL 2 TANZAN 6/1/67 to POL 2 TANZAN 1/1/69 Box 2513,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0017,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0017,ulting References to President Johnson in the Nationalist. Most of our conversation was on this subject. Mr. Mbonde an by saying that Tanzania was a young country and that this but emphasized that we wanted U.S. -Tanzanian That would be eo-colonial. The kind of relations we wanted also had o be based on a minimum of good manners. I said that I as aware that there were progressive people in Tanzania and if they wrote in such organs as the Standard or Ngurumo we would never dream of making inquiries at the Foreign Office. as pointed out in our note appeared to have some constitutional sanction. note was simply an effort to get some clarification of the situation so that we may accurately report to Washington on the state of Tanzanian-U.S. relations. Mr. Mbonde asked if our note was a protest. I assured Mr. Mbonde my motte da discussed the matter win ham I explained that I the Ambassador and Mr. Pickering had done this on several occasions on similar problems that nothing seemed to have been done until we started I had thanked him for wat suprate to ote the Ministers hat in geed ng the outensive photo exhibits outside of the Nortn Vietnamese and Nortn Korean Embassies changed. We had raised this a note.) Mr. Mbonde asked me why I was discussing the matter with him -- why didnt I see Mr Katikaza met with Mt. Mloka I told him that I nad asked for an appointment (Director of the Political Division and Mbondes boss) but (haectoen as the fo see him Monde) instead and has comply was only an effort to do as I had been asked and with tre wishes of the Foreign Office. I said that I or Mr. Pickering would be happy to discuss the matter witn anyone the Ministry might designate. Mr. Mbonde finally asked me to withdraw the note. said that notes always made difficulties. I said that I did to; we wish to establish a record to which we could I said that we in the Embassy were in a very difficult position -- we were sincerely trying to explain Tanzania and its policies Government. accurately and sympathetically to our statements We faithfully reported President Nyereres about non-alignment and friendship with other CONFIDENTIAL DECLASSIFIED thority NND 969000 ATO 350 100 То 6 33 经 15 52₴ ril ers. pril crive 15 -06 1/1/68 POL 2 3 on TANZAN,Nyerere,Vietnam; Korea,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0016,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0016,DECLASSIFIED hority NND 969000 NIAN CUNFIDENTIAL • Conference of Social Welfare Ministers. In accordance with CA-6451 I told MI. Mbonde that U.S. planned to send high-level participants to this ference. I said that I regretted that I could not 1 him who they would be but went to tell him that the 5 hoped Tanzania would also send high-level personages. • Mbonde had never heard of the Conference. sas for Tanzanian Officials. As set forth in the attached aide memoire I told c. Mbonde that American visa practices were based on I said that if we could get an official statement rom the Ministry as to what sort of re-entry permits merican officials would receive from the Tanzanian mmigration Division the Embassy would be prepared to ecommend to the Department that the U.S. reciprocate to a Tanzanian visa and a re-entry permit as a single action and not just to a visa alone. If the Department accepts our granted an American vise wath a validity longer than tnen perhaps Mr. Waldron-Ramsey could three months. MI. Mbonde who is a former Immigration Officer expressed surprise when I told him diplomats were required to get a re-entry pass in addition to the stamp in their passports exempting them from the provisions of the Immigration He said he would look into the matter and get me an USIS Trainees. As set forth in the attached aide memoire I asked Mr. Mbonde if we could be allowed to assign one or both of the upcoming USIS J.O.Ts to USIS Dar es Salaam. said he would look into the matter. Cultural Visits. Mr. Mbonde said that the Embassys note telling of the various types of visits which could be made available to Tanzanians had been sent around to the different Tanzanian Ministries. When the Ministries send their nominations and suggestions back to the Foreign Office it would then be useful for someone to come in and discuss the subject. Mr. Mbonde emphasized that the Foreign Office was simply a letter-box in a matter such as this and exercised no control over the situation. 0633 oclT USE ONLY OR 15 52₴ 「$. cil Ive 1506 3 1/1/68 POL 2 TANZAN CONFIDENTIAL,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0002,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0002,Project Number; 969000 CENTRAL FOREIGN POLICY FILES 1967 = 1969 Entry No. 59 Box NO. SCREENED SR - Dao 7121 kg RG 50 GENERAL RECORDS OF THE DEPARTMENT OF STATE CENTRAL FOREIGN POLICY FILES. 1967-1969 Political and Defense POL 2 TANZAN 6/1/67 POL 2 TANZAN 1/1/60 Box 2513,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
nara_tanzania_RG59-67-69-Box2513-contd-2,ENGLISH,IMG_0006,nara_tanzania_RG59-67-69-Box2513-contd-2-IMG_0006,DECLASSIFIED whority NND 969000 TION DISTRIEUTION CTION DEPARTMENT OF STATE RAM DEPARTMENT OF STATE Dal 2 TANAN Zanzibar A-141 CONFIDENTIAL --It may be 50 years before Zanzibar will have an elected legislature and executive. --The Moslem religious leaders who were released April 7 were not counterrevolutionaries The term There are no counterrevolutionaries on Zanzibar. was never used by the Zanzibar Government but only by the press. --All arrests in Zanzibar have been in accordance with the law and there are no detainees under the Preventive Detention Act. --Food shortages do not and have not existed. --Zanzibar does not request foreign aid because it follows a policy of self-reliance. Aid without strings which fits into Zanzibar develonment plans is welcomed and the aid from Communist countries meets this criterion. The USAID-built technical college is not bad and is a grant. Western aid would be welcomed in prospecting for oil. --Resettlement plans are progressing well. Agricul- tural development plans do not foresee development of new export crops but expansion of food production for ocal use. --Zanzibar welcomes tourists and plans to build large beach hotel in cooperation with the Tanzanian National Development Corporation. --An invitition to discuss the possibility of an ASP-TANU merger was refused with the comment that an announcement would be made at the proper time perhaps soon. --Correspondents are free to come to Zanzibar and report on conditions without any restrictions. The Standard offered its comments in an editorial in the same issue which carried the interview 1/1/68 POL 2 TANZAN CONFIDENTIAL,,,www.archives.gov,Copyright of the National Archives and Records Administration (NARA) and The Airqiv Document Explorer. Fair use criteria of Section 107 of the Copyright Act of 1976 must be followed. The following materials can be used for educational and other noncommercial purposes without the written permission of NARA. These materials are not to be used for resale or commercial purposes without written authorization from NARA. This text extraction and summarization process and software is designed and copyrighted by Paul Bjerk. All materials cited must be attributed to NARA www.archives.gov and The Airqiv Document Explorer  airqiv.com
